*********************[2016-04-20 1:18:19:566 | 3 ] Status: Start Running*********************
[2016-04-20 1:18:19:566 | 3 ] Error: Crash Error
*********************[2016-04-20 1:18:56:75 | 3 ] Status: Start Running*********************
[2016-04-20 1:18:56:75 | 3 ] Error: Crash Error
*********************[2016-04-20 1:20:11:590 | 3 ] Status: Start Running*********************
[2016-04-20 1:20:12:606 | 3 ] Algorithm: send OKAY 3 to 0
[2016-04-20 1:20:12:606 | 3 ] Internal: Trigger an election
[2016-04-20 1:20:12:607 | 3 ] Algorithm: send Elect 3 to 4
[2016-04-20 1:20:12:607 | 3 ] Algorithm: send Elect 3 to 5
[2016-04-20 1:20:12:608 | 3 ] Internal: Waiting for response
[2016-04-20 1:20:12:608 | 3 ] Alogorithm: Wait for 50 ms
[2016-04-20 1:20:12:610 | 3 ] Algorithm: send OKAY 3 to 2
[2016-04-20 1:20:12:611 | 3 ] Internal: Trigger an election
[2016-04-20 1:20:12:611 | 3 ] Algorithm: send Elect 3 to 4
[2016-04-20 1:20:12:612 | 3 ] Algorithm: send Elect 3 to 5
[2016-04-20 1:20:12:613 | 3 ] Internal: Waiting for response
[2016-04-20 1:20:12:613 | 3 ] Alogorithm: Wait for 50 ms
[2016-04-20 1:20:12:616 | 3 ] Algorithm: send OKAY 3 to 1
[2016-04-20 1:20:12:616 | 3 ] Internal: Trigger an election
[2016-04-20 1:20:12:617 | 3 ] Algorithm: send Elect 3 to 4
[2016-04-20 1:20:12:618 | 3 ] Algorithm: send Elect 3 to 5
[2016-04-20 1:20:12:619 | 3 ] Internal: Waiting for response
[2016-04-20 1:20:12:619 | 3 ] Alogorithm: Wait for 50 ms
[2016-04-20 1:20:12:620 | 3 ] Internal: Received Result from 5
[2016-04-20 1:20:12:622 | 3 ] Algorithm: send OKAY 3 to 2
[2016-04-20 1:20:12:622 | 3 ] Internal: Trigger an election
[2016-04-20 1:20:12:622 | 3 ] Algorithm: send Elect 3 to 4
[2016-04-20 1:20:12:625 | 3 ] Algorithm: send Elect 3 to 5
[2016-04-20 1:20:12:627 | 3 ] Internal: Waiting for response
[2016-04-20 1:20:12:628 | 3 ] Alogorithm: Wait for 50 ms
[2016-04-20 1:20:12:638 | 3 ] Internal: Received OKAY from 5
[2016-04-20 1:20:12:638 | 3 ] Internal: Received OKAY from 4
[2016-04-20 1:20:12:639 | 3 ] Internal: Received Result from 5
[2016-04-20 1:20:12:639 | 3 ] Internal: Received OKAY from 4
[2016-04-20 1:20:12:644 | 3 ] Internal: Received OKAY from 4
[2016-04-20 1:20:12:646 | 3 ] Internal: Received Result from 5
[2016-04-20 1:20:12:658 | 3 ] Internal: Received OKAY from 4
[2016-04-20 1:20:12:659 | 3 ] Internal: Received Result from 5
[2016-04-20 1:20:12:669 | 3 ] Internal: Received Result from 5
[2016-04-20 1:20:12:673 | 3 ] Internal: Received OKAY from 5
[2016-04-20 1:20:12:678 | 3 ] Internal: Received Result from 5
[2016-04-20 1:20:12:686 | 3 ] Internal: Received Result from 5
[2016-04-20 1:20:12:702 | 3 ] Internal: Received Result from 5
[2016-04-20 1:20:12:708 | 3 ] Internal: Received OKAY from 5
[2016-04-20 1:20:12:717 | 3 ] Internal: Received Result from 5
