*********************[2016-04-20 12:13:44:863 | 7 ] Status: Start Running*********************
[2016-04-20 12:13:45:880 | 7 ] Internal: Received Elect from 5
[2016-04-20 12:13:45:880 | 7 ] Omission Error: Not Reply
[2016-04-20 12:13:45:880 | 7 ] Internal: Received Elect from 4
[2016-04-20 12:13:45:881 | 7 ] Omission Error: Not Reply
[2016-04-20 12:13:45:881 | 7 ] Internal: Received Elect from 1
[2016-04-20 12:13:45:881 | 7 ] Omission Error: Not Reply
[2016-04-20 12:13:45:884 | 7 ] Internal: Received Elect from 5
[2016-04-20 12:13:45:884 | 7 ] Omission Error: Not Reply
*********************[2016-04-20 12:19:19:139 | 7 ] Status: Close Server*********************
*********************[2016-04-20 12:19:19:761 | 7 ] Status: Start Running*********************
[2016-04-20 12:19:19:768 | 7 ] Internal: Received Elect from 1
[2016-04-20 12:19:19:768 | 7 ] Omission Error: Not Reply
[2016-04-20 12:19:19:769 | 7 ] Internal: Received Elect from 5
[2016-04-20 12:19:19:769 | 7 ] Omission Error: Not Reply
[2016-04-20 12:19:19:769 | 7 ] Internal: Received Elect from 4
[2016-04-20 12:19:19:770 | 7 ] Omission Error: Not Reply
[2016-04-20 12:19:19:773 | 7 ] Internal: Received Elect from 5
[2016-04-20 12:19:19:774 | 7 ] Omission Error: Not Reply
[2016-04-20 12:27:20:739 | 7 ] Internal: Received Elect from 4
[2016-04-20 12:27:20:740 | 7 ] Omission Error: Not Reply
[2016-04-20 12:27:20:950 | 7 ] Internal: Received Elect from 5
[2016-04-20 12:27:20:950 | 7 ] Omission Error: Not Reply
[2016-04-20 12:27:21:03 | 7 ] Internal: Received Elect from 1
[2016-04-20 12:27:21:03 | 7 ] Omission Error: Not Reply
[2016-04-20 12:27:21:06 | 7 ] Internal: Received Elect from 4
[2016-04-20 12:27:21:06 | 7 ] Omission Error: Not Reply
[2016-04-20 12:27:21:103 | 7 ] Internal: Received Elect from 0
[2016-04-20 12:27:21:103 | 7 ] Omission Error: Not Reply
[2016-04-20 12:27:21:103 | 7 ] Internal: Received Elect from 1
[2016-04-20 12:27:21:103 | 7 ] Omission Error: Not Reply
[2016-04-20 12:27:21:104 | 7 ] Internal: Received Elect from 4
[2016-04-20 12:27:21:104 | 7 ] Omission Error: Not Reply
[2016-04-20 12:27:21:110 | 7 ] Internal: Received Elect from 4
[2016-04-20 12:27:21:110 | 7 ] Omission Error: Not Reply
[2016-04-20 12:27:24:857 | 7 ] Internal: Received Elect from 5
[2016-04-20 12:27:24:857 | 7 ] Omission Error: Not Reply
[2016-04-20 12:27:25:652 | 7 ] Internal: Received Elect from 1
[2016-04-20 12:27:25:653 | 7 ] Omission Error: Not Reply
[2016-04-20 12:27:25:654 | 7 ] Internal: Received Elect from 4
[2016-04-20 12:27:25:654 | 7 ] Omission Error: Not Reply
[2016-04-20 12:27:25:759 | 7 ] Internal: Received Elect from 0
[2016-04-20 12:27:25:759 | 7 ] Omission Error: Not Reply
[2016-04-20 12:27:25:760 | 7 ] Internal: Received Elect from 4
[2016-04-20 12:27:25:760 | 7 ] Omission Error: Not Reply
[2016-04-20 12:27:25:761 | 7 ] Internal: Received Elect from 1
[2016-04-20 12:27:25:761 | 7 ] Omission Error: Not Reply
[2016-04-20 12:27:25:764 | 7 ] Internal: Received Elect from 4
[2016-04-20 12:27:25:764 | 7 ] Omission Error: Not Reply
[2016-04-20 12:27:28:979 | 7 ] Internal: Received Elect from 5
[2016-04-20 12:27:28:979 | 7 ] Omission Error: Not Reply
[2016-04-20 12:27:29:587 | 7 ] Internal: Received Elect from 4
[2016-04-20 12:27:29:587 | 7 ] Omission Error: Not Reply
[2016-04-20 12:27:32:599 | 7 ] Internal: Received Elect from 5
[2016-04-20 12:27:32:599 | 7 ] Omission Error: Not Reply
[2016-04-20 12:27:33:189 | 7 ] Internal: Received Elect from 0
[2016-04-20 12:27:33:189 | 7 ] Omission Error: Not Reply
[2016-04-20 12:27:33:190 | 7 ] Internal: Received Elect from 1
[2016-04-20 12:27:33:190 | 7 ] Omission Error: Not Reply
[2016-04-20 12:27:33:191 | 7 ] Internal: Received Elect from 4
[2016-04-20 12:27:33:191 | 7 ] Omission Error: Not Reply
[2016-04-20 12:27:33:192 | 7 ] Internal: Received Elect from 4
[2016-04-20 12:27:33:192 | 7 ] Omission Error: Not Reply
[2016-04-20 12:27:35:615 | 7 ] Internal: Received Elect from 5
[2016-04-20 12:27:35:615 | 7 ] Omission Error: Not Reply
[2016-04-20 12:27:36:522 | 7 ] Internal: Received Elect from 4
[2016-04-20 12:27:36:522 | 7 ] Omission Error: Not Reply
[2016-04-20 12:27:38:555 | 7 ] Internal: Received Elect from 5
[2016-04-20 12:27:38:556 | 7 ] Omission Error: Not Reply
[2016-04-20 12:27:38:815 | 7 ] Internal: Received Elect from 4
[2016-04-20 12:27:38:815 | 7 ] Omission Error: Not Reply
[2016-04-20 12:27:42:412 | 7 ] Internal: Received Elect from 5
[2016-04-20 12:27:42:412 | 7 ] Omission Error: Not Reply
[2016-04-20 12:27:42:573 | 7 ] Internal: Received Elect from 0
[2016-04-20 12:27:42:573 | 7 ] Omission Error: Not Reply
[2016-04-20 12:27:42:574 | 7 ] Internal: Received Elect from 1
[2016-04-20 12:27:42:574 | 7 ] Omission Error: Not Reply
[2016-04-20 12:27:42:576 | 7 ] Internal: Received Elect from 4
[2016-04-20 12:27:42:576 | 7 ] Omission Error: Not Reply
[2016-04-20 12:27:42:585 | 7 ] Internal: Received Elect from 4
[2016-04-20 12:27:42:586 | 7 ] Omission Error: Not Reply
[2016-04-20 12:27:45:197 | 7 ] Internal: Received Elect from 5
[2016-04-20 12:27:45:197 | 7 ] Omission Error: Not Reply
[2016-04-20 12:27:46:278 | 7 ] Internal: Received Elect from 4
[2016-04-20 12:27:46:278 | 7 ] Omission Error: Not Reply
[2016-04-20 12:27:47:820 | 7 ] Internal: Received Elect from 5
[2016-04-20 12:27:47:820 | 7 ] Omission Error: Not Reply
[2016-04-20 12:27:49:926 | 7 ] Internal: Received Elect from 4
[2016-04-20 12:27:49:926 | 7 ] Omission Error: Not Reply
[2016-04-20 12:27:49:934 | 7 ] Internal: Received Elect from 5
[2016-04-20 12:27:49:934 | 7 ] Omission Error: Not Reply
[2016-04-20 12:27:50:614 | 7 ] Internal: Received Elect from 0
[2016-04-20 12:27:50:614 | 7 ] Omission Error: Not Reply
[2016-04-20 12:27:50:614 | 7 ] Internal: Received Elect from 1
[2016-04-20 12:27:50:614 | 7 ] Omission Error: Not Reply
[2016-04-20 12:27:50:614 | 7 ] Internal: Received Elect from 4
[2016-04-20 12:27:50:614 | 7 ] Omission Error: Not Reply
[2016-04-20 12:27:50:616 | 7 ] Internal: Received Elect from 4
[2016-04-20 12:27:50:617 | 7 ] Omission Error: Not Reply
[2016-04-20 12:27:54:194 | 7 ] Internal: Received Elect from 5
[2016-04-20 12:27:54:194 | 7 ] Omission Error: Not Reply
[2016-04-20 12:27:55:600 | 7 ] Internal: Received Elect from 1
[2016-04-20 12:27:55:600 | 7 ] Omission Error: Not Reply
[2016-04-20 12:27:55:601 | 7 ] Internal: Received Elect from 4
[2016-04-20 12:27:55:601 | 7 ] Omission Error: Not Reply
[2016-04-20 12:27:56:484 | 7 ] Internal: Received Elect from 5
[2016-04-20 12:27:56:484 | 7 ] Omission Error: Not Reply
[2016-04-20 12:27:57:68 | 7 ] Internal: Received Elect from 0
[2016-04-20 12:27:57:68 | 7 ] Omission Error: Not Reply
[2016-04-20 12:27:57:68 | 7 ] Internal: Received Elect from 1
[2016-04-20 12:27:57:68 | 7 ] Omission Error: Not Reply
[2016-04-20 12:27:57:68 | 7 ] Internal: Received Elect from 4
[2016-04-20 12:27:57:68 | 7 ] Omission Error: Not Reply
[2016-04-20 12:27:57:70 | 7 ] Internal: Received Elect from 4
[2016-04-20 12:27:57:70 | 7 ] Omission Error: Not Reply
[2016-04-20 12:27:58:495 | 7 ] Internal: Received Elect from 5
[2016-04-20 12:27:58:495 | 7 ] Omission Error: Not Reply
[2016-04-20 12:27:59:560 | 7 ] Internal: Received Elect from 1
[2016-04-20 12:27:59:560 | 7 ] Omission Error: Not Reply
[2016-04-20 12:27:59:560 | 7 ] Internal: Received Elect from 4
[2016-04-20 12:27:59:561 | 7 ] Omission Error: Not Reply
[2016-04-20 12:28:01:157 | 7 ] Internal: Received Elect from 5
[2016-04-20 12:28:01:157 | 7 ] Omission Error: Not Reply
[2016-04-20 12:28:01:943 | 7 ] Internal: Received Elect from 1
[2016-04-20 12:28:01:943 | 7 ] Omission Error: Not Reply
[2016-04-20 12:28:01:943 | 7 ] Internal: Received Elect from 4
[2016-04-20 12:28:01:943 | 7 ] Omission Error: Not Reply
[2016-04-20 12:28:04:691 | 7 ] Internal: Received Elect from 5
[2016-04-20 12:28:04:691 | 7 ] Omission Error: Not Reply
[2016-04-20 12:28:06:145 | 7 ] Internal: Received Elect from 1
[2016-04-20 12:28:06:145 | 7 ] Omission Error: Not Reply
[2016-04-20 12:28:06:145 | 7 ] Internal: Received Elect from 4
[2016-04-20 12:28:06:145 | 7 ] Omission Error: Not Reply
[2016-04-20 12:28:06:853 | 7 ] Internal: Received Elect from 5
[2016-04-20 12:28:06:853 | 7 ] Omission Error: Not Reply
[2016-04-20 12:28:07:642 | 7 ] Internal: Received Elect from 4
[2016-04-20 12:28:07:642 | 7 ] Omission Error: Not Reply
[2016-04-20 12:28:10:366 | 7 ] Internal: Received Elect from 5
[2016-04-20 12:28:10:366 | 7 ] Omission Error: Not Reply
[2016-04-20 12:28:11:55 | 7 ] Internal: Received Elect from 1
[2016-04-20 12:28:11:55 | 7 ] Omission Error: Not Reply
[2016-04-20 12:28:11:55 | 7 ] Internal: Received Elect from 4
[2016-04-20 12:28:11:55 | 7 ] Omission Error: Not Reply
[2016-04-20 12:28:13:832 | 7 ] Internal: Received Elect from 5
[2016-04-20 12:28:13:832 | 7 ] Omission Error: Not Reply
*********************[2016-04-20 12:28:14:820 | 7 ] Status: Close Server*********************
*********************[2016-04-20 12:29:48:174 | 7 ] Status: Start Running*********************
[2016-04-20 12:29:49:184 | 7 ] Internal: Received Elect from 1
[2016-04-20 12:29:49:184 | 7 ] Omission Error: Not Reply
[2016-04-20 12:29:49:185 | 7 ] Internal: Received Elect from 5
[2016-04-20 12:29:49:185 | 7 ] Omission Error: Not Reply
[2016-04-20 12:29:49:185 | 7 ] Internal: Received Elect from 4
[2016-04-20 12:29:49:185 | 7 ] Omission Error: Not Reply
[2016-04-20 12:29:49:189 | 7 ] Internal: Received Elect from 5
[2016-04-20 12:29:49:189 | 7 ] Omission Error: Not Reply
[2016-04-20 12:29:54:499 | 7 ] Internal: Received Elect from 1
[2016-04-20 12:29:54:499 | 7 ] Omission Error: Not Reply
[2016-04-20 12:29:54:502 | 7 ] Internal: Received Elect from 4
[2016-04-20 12:29:54:503 | 7 ] Omission Error: Not Reply
[2016-04-20 12:29:55:34 | 7 ] Internal: Received Elect from 4
[2016-04-20 12:29:55:34 | 7 ] Omission Error: Not Reply
*********************[2016-04-20 12:30:06:238 | 7 ] Status: Close Server*********************
*********************[2016-04-20 1:12:00:16 | 7 ] Status: Start Running*********************
[2016-04-20 1:12:00:19 | 7 ] Algorithm: send OKAY 7 to 2
[2016-04-20 1:12:00:19 | 7 ] Algorithm: send Result 7 to 0
[2016-04-20 1:12:00:19 | 7 ] Algorithm: send Result 7 to 1
[2016-04-20 1:12:00:20 | 7 ] Algorithm: send Result 7 to 2
[2016-04-20 1:12:00:20 | 7 ] SendResult Error: Crash Error 3
[2016-04-20 1:12:00:21 | 7 ] Algorithm: send Result 7 to 4
[2016-04-20 1:12:00:21 | 7 ] Algorithm: send Result 7 to 5
[2016-04-20 1:12:00:21 | 7 ] Algorithm: send Result 7 to 6
[2016-04-20 1:12:00:22 | 7 ] Algorithm: send OKAY 7 to 5
[2016-04-20 1:12:00:23 | 7 ] Algorithm: send Result 7 to 0
[2016-04-20 1:12:00:23 | 7 ] Algorithm: send Result 7 to 1
[2016-04-20 1:12:00:24 | 7 ] Algorithm: send Result 7 to 2
[2016-04-20 1:12:00:24 | 7 ] SendResult Error: Crash Error 3
[2016-04-20 1:12:00:25 | 7 ] Algorithm: send Result 7 to 4
[2016-04-20 1:12:00:25 | 7 ] Algorithm: send Result 7 to 5
[2016-04-20 1:12:00:25 | 7 ] Algorithm: send Result 7 to 6
[2016-04-20 1:12:00:26 | 7 ] Algorithm: send OKAY 7 to 6
[2016-04-20 1:12:00:27 | 7 ] Algorithm: send Result 7 to 0
[2016-04-20 1:12:00:28 | 7 ] Algorithm: send Result 7 to 1
[2016-04-20 1:12:00:28 | 7 ] Algorithm: send Result 7 to 2
[2016-04-20 1:12:00:28 | 7 ] SendResult Error: Crash Error 3
[2016-04-20 1:12:00:29 | 7 ] Algorithm: send Result 7 to 4
[2016-04-20 1:12:00:29 | 7 ] Algorithm: send Result 7 to 5
[2016-04-20 1:12:00:29 | 7 ] Algorithm: send Result 7 to 6
[2016-04-20 1:12:00:30 | 7 ] Algorithm: send OKAY 7 to 6
[2016-04-20 1:12:00:30 | 7 ] Algorithm: send Result 7 to 0
[2016-04-20 1:12:00:31 | 7 ] Algorithm: send Result 7 to 1
[2016-04-20 1:12:00:31 | 7 ] Algorithm: send Result 7 to 2
[2016-04-20 1:12:00:31 | 7 ] SendResult Error: Crash Error 3
[2016-04-20 1:12:00:31 | 7 ] Algorithm: send Result 7 to 4
[2016-04-20 1:12:00:32 | 7 ] Algorithm: send Result 7 to 5
[2016-04-20 1:12:00:32 | 7 ] Algorithm: send Result 7 to 6
*********************[2016-04-20 1:18:18:971 | 7 ] Status: Close Server*********************
*********************[2016-04-20 1:18:19:567 | 7 ] Status: Start Running*********************
[2016-04-20 1:18:19:569 | 7 ] Algorithm: send OKAY 7 to 2
[2016-04-20 1:18:19:569 | 7 ] Algorithm: send Result 7 to 0
[2016-04-20 1:18:19:570 | 7 ] Algorithm: send Result 7 to 1
[2016-04-20 1:18:19:570 | 7 ] Algorithm: send Result 7 to 2
[2016-04-20 1:18:19:570 | 7 ] SendResult Error: Crash Error 3
[2016-04-20 1:18:19:571 | 7 ] Algorithm: send Result 7 to 4
[2016-04-20 1:18:19:571 | 7 ] Algorithm: send Result 7 to 5
[2016-04-20 1:18:19:571 | 7 ] Algorithm: send Result 7 to 6
[2016-04-20 1:18:19:572 | 7 ] Algorithm: send OKAY 7 to 6
[2016-04-20 1:18:19:572 | 7 ] Algorithm: send Result 7 to 0
[2016-04-20 1:18:19:572 | 7 ] Algorithm: send Result 7 to 1
[2016-04-20 1:18:19:572 | 7 ] Algorithm: send Result 7 to 2
[2016-04-20 1:18:19:573 | 7 ] SendResult Error: Crash Error 3
[2016-04-20 1:18:19:573 | 7 ] Algorithm: send Result 7 to 4
[2016-04-20 1:18:19:573 | 7 ] Algorithm: send Result 7 to 5
[2016-04-20 1:18:19:574 | 7 ] Algorithm: send Result 7 to 6
[2016-04-20 1:18:19:575 | 7 ] Algorithm: send OKAY 7 to 5
[2016-04-20 1:18:19:575 | 7 ] Algorithm: send Result 7 to 0
[2016-04-20 1:18:19:576 | 7 ] Algorithm: send Result 7 to 1
[2016-04-20 1:18:19:577 | 7 ] Algorithm: send Result 7 to 2
[2016-04-20 1:18:19:578 | 7 ] SendResult Error: Crash Error 3
[2016-04-20 1:18:19:578 | 7 ] Algorithm: send Result 7 to 4
[2016-04-20 1:18:19:579 | 7 ] Algorithm: send Result 7 to 5
[2016-04-20 1:18:19:580 | 7 ] Algorithm: send Result 7 to 6
[2016-04-20 1:18:19:582 | 7 ] Algorithm: send OKAY 7 to 6
[2016-04-20 1:18:19:583 | 7 ] Algorithm: send Result 7 to 0
[2016-04-20 1:18:19:584 | 7 ] Algorithm: send Result 7 to 1
[2016-04-20 1:18:19:585 | 7 ] Algorithm: send Result 7 to 2
[2016-04-20 1:18:19:587 | 7 ] SendResult Error: Crash Error 3
[2016-04-20 1:18:19:588 | 7 ] Algorithm: send Result 7 to 4
[2016-04-20 1:18:19:589 | 7 ] Algorithm: send Result 7 to 5
[2016-04-20 1:18:19:590 | 7 ] Algorithm: send Result 7 to 6
[2016-04-20 1:18:21:816 | 7 ] Algorithm: send OKAY 7 to 5
[2016-04-20 1:18:21:817 | 7 ] Algorithm: send Result 7 to 0
[2016-04-20 1:18:21:817 | 7 ] Algorithm: send Result 7 to 1
[2016-04-20 1:18:21:817 | 7 ] Algorithm: send Result 7 to 2
[2016-04-20 1:18:21:818 | 7 ] SendResult Error: Crash Error 3
[2016-04-20 1:18:21:818 | 7 ] Algorithm: send Result 7 to 4
[2016-04-20 1:18:21:818 | 7 ] Algorithm: send Result 7 to 5
[2016-04-20 1:18:21:818 | 7 ] Algorithm: send Result 7 to 6
[2016-04-20 1:18:21:819 | 7 ] Algorithm: send OKAY 7 to 6
[2016-04-20 1:18:21:819 | 7 ] Algorithm: send Result 7 to 0
[2016-04-20 1:18:21:819 | 7 ] Algorithm: send Result 7 to 1
[2016-04-20 1:18:21:820 | 7 ] Algorithm: send Result 7 to 2
[2016-04-20 1:18:21:820 | 7 ] SendResult Error: Crash Error 3
[2016-04-20 1:18:21:820 | 7 ] Algorithm: send Result 7 to 4
[2016-04-20 1:18:21:820 | 7 ] Algorithm: send Result 7 to 5
[2016-04-20 1:18:21:821 | 7 ] Algorithm: send Result 7 to 6
[2016-04-20 1:18:21:821 | 7 ] Algorithm: send OKAY 7 to 6
[2016-04-20 1:18:21:821 | 7 ] Algorithm: send Result 7 to 0
[2016-04-20 1:18:21:822 | 7 ] Algorithm: send Result 7 to 1
[2016-04-20 1:18:21:822 | 7 ] Algorithm: send Result 7 to 2
[2016-04-20 1:18:21:823 | 7 ] SendResult Error: Crash Error 3
[2016-04-20 1:18:21:823 | 7 ] Algorithm: send Result 7 to 4
[2016-04-20 1:18:21:823 | 7 ] Algorithm: send Result 7 to 5
[2016-04-20 1:18:21:825 | 7 ] Algorithm: send Result 7 to 6
[2016-04-20 1:18:23:524 | 7 ] Algorithm: send OKAY 7 to 5
[2016-04-20 1:18:23:524 | 7 ] Algorithm: send Result 7 to 0
[2016-04-20 1:18:23:525 | 7 ] Algorithm: send Result 7 to 1
[2016-04-20 1:18:23:526 | 7 ] Algorithm: send Result 7 to 2
[2016-04-20 1:18:23:526 | 7 ] SendResult Error: Crash Error 3
[2016-04-20 1:18:23:527 | 7 ] Algorithm: send Result 7 to 4
[2016-04-20 1:18:23:527 | 7 ] Algorithm: send Result 7 to 5
[2016-04-20 1:18:23:527 | 7 ] Algorithm: send Result 7 to 6
[2016-04-20 1:18:23:528 | 7 ] Algorithm: send OKAY 7 to 6
[2016-04-20 1:18:23:528 | 7 ] Algorithm: send Result 7 to 0
[2016-04-20 1:18:23:529 | 7 ] Algorithm: send Result 7 to 1
[2016-04-20 1:18:23:529 | 7 ] Algorithm: send Result 7 to 2
[2016-04-20 1:18:23:530 | 7 ] SendResult Error: Crash Error 3
[2016-04-20 1:18:23:530 | 7 ] Algorithm: send Result 7 to 4
[2016-04-20 1:18:23:530 | 7 ] Algorithm: send Result 7 to 5
[2016-04-20 1:18:23:530 | 7 ] Algorithm: send Result 7 to 6
[2016-04-20 1:18:24:364 | 7 ] Algorithm: send OKAY 7 to 2
[2016-04-20 1:18:24:364 | 7 ] Algorithm: send Result 7 to 0
[2016-04-20 1:18:24:364 | 7 ] Algorithm: send Result 7 to 1
[2016-04-20 1:18:24:365 | 7 ] Algorithm: send Result 7 to 2
[2016-04-20 1:18:24:365 | 7 ] SendResult Error: Crash Error 3
[2016-04-20 1:18:24:365 | 7 ] Algorithm: send Result 7 to 4
[2016-04-20 1:18:24:366 | 7 ] Algorithm: send Result 7 to 5
[2016-04-20 1:18:24:366 | 7 ] Algorithm: send Result 7 to 6
[2016-04-20 1:18:24:366 | 7 ] Algorithm: send OKAY 7 to 5
[2016-04-20 1:18:24:367 | 7 ] Algorithm: send Result 7 to 0
[2016-04-20 1:18:24:367 | 7 ] Algorithm: send Result 7 to 1
[2016-04-20 1:18:24:368 | 7 ] Algorithm: send Result 7 to 2
[2016-04-20 1:18:24:368 | 7 ] SendResult Error: Crash Error 3
[2016-04-20 1:18:24:368 | 7 ] Algorithm: send Result 7 to 4
[2016-04-20 1:18:24:369 | 7 ] Algorithm: send Result 7 to 5
[2016-04-20 1:18:24:369 | 7 ] Algorithm: send Result 7 to 6
[2016-04-20 1:18:24:370 | 7 ] Algorithm: send OKAY 7 to 6
[2016-04-20 1:18:24:370 | 7 ] Algorithm: send Result 7 to 0
[2016-04-20 1:18:24:370 | 7 ] Algorithm: send Result 7 to 1
[2016-04-20 1:18:24:372 | 7 ] Algorithm: send Result 7 to 2
[2016-04-20 1:18:24:373 | 7 ] SendResult Error: Crash Error 3
[2016-04-20 1:18:24:373 | 7 ] Algorithm: send Result 7 to 4
[2016-04-20 1:18:24:373 | 7 ] Algorithm: send Result 7 to 5
[2016-04-20 1:18:24:374 | 7 ] Algorithm: send Result 7 to 6
[2016-04-20 1:18:24:375 | 7 ] Algorithm: send OKAY 7 to 6
[2016-04-20 1:18:24:375 | 7 ] Algorithm: send Result 7 to 0
[2016-04-20 1:18:24:378 | 7 ] Algorithm: send Result 7 to 1
[2016-04-20 1:18:24:381 | 7 ] Algorithm: send Result 7 to 2
[2016-04-20 1:18:24:382 | 7 ] SendResult Error: Crash Error 3
[2016-04-20 1:18:24:383 | 7 ] Algorithm: send Result 7 to 4
[2016-04-20 1:18:24:383 | 7 ] Algorithm: send Result 7 to 5
[2016-04-20 1:18:24:384 | 7 ] Algorithm: send Result 7 to 6
[2016-04-20 1:18:25:464 | 7 ] Algorithm: send OKAY 7 to 6
